year,eea_cell_code,speciesKey,species,n,min_coord_uncertainty
2000,1kmE3808N3135,2889173,Reynoutria japonica,1,700
2000,1kmE3809N3112,2889173,Reynoutria japonica,1,700
2000,1kmE3810N3099,2889173,Reynoutria japonica,1,700
2000,1kmE3813N3096,2889173,Reynoutria japonica,1,700
2000,1kmE3815N3141,2889173,Reynoutria japonica,1,700
2000,1kmE3826N3115,2889173,Reynoutria japonica,1,700
2000,1kmE3826N3119,2889173,Reynoutria japonica,1,700
2000,1kmE3826N3145,2889173,Reynoutria japonica,1,700
2000,1kmE3829N3103,2889173,Reynoutria japonica,1,700
2000,1kmE3829N3138,2889173,Reynoutria japonica,1,700
2000,1kmE3830N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3830N3145,2889173,Reynoutria japonica,1,700
2000,1kmE3831N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3832N3098,2889173,Reynoutria japonica,1,700
2000,1kmE3832N3142,2889173,Reynoutria japonica,1,700
2000,1kmE3833N3143,2889173,Reynoutria japonica,1,700
2000,1kmE3833N3151,2889173,Reynoutria japonica,2,700
2000,1kmE3834N3119,2889173,Reynoutria japonica,1,700
2000,1kmE3835N3132,2889173,Reynoutria japonica,1,700
2000,1kmE3839N3113,2889173,Reynoutria japonica,1,700
2000,1kmE3841N3119,2889173,Reynoutria japonica,1,700
2000,1kmE3841N3120,2889173,Reynoutria japonica,1,700
2000,1kmE3841N3131,2889173,Reynoutria japonica,1,700
2000,1kmE3844N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3844N3111,2889173,Reynoutria japonica,1,700
2000,1kmE3845N3096,2889173,Reynoutria japonica,1,700
2000,1kmE3845N3157,2889173,Reynoutria japonica,1,700
2000,1kmE3848N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3850N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3853N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3856N3072,2889173,Reynoutria japonica,1,707
2000,1kmE3856N3145,2889173,Reynoutria japonica,1,700
2000,1kmE3858N3130,2889173,Reynoutria japonica,1,700
2000,1kmE3860N3128,2889173,Reynoutria japonica,1,700
2000,1kmE3861N3105,2889173,Reynoutria japonica,1,700
2000,1kmE3861N3127,2889173,Reynoutria japonica,1,700
2000,1kmE3861N3129,2889173,Reynoutria japonica,1,700
2000,1kmE3862N3096,2889173,Reynoutria japonica,1,700
2000,1kmE3862N3128,2889173,Reynoutria japonica,1,700
2000,1kmE3864N3091,2889173,Reynoutria japonica,1,700
2000,1kmE3864N3096,2889173,Reynoutria japonica,1,700
2000,1kmE3867N3089,2889173,Reynoutria japonica,1,700
2000,1kmE3867N3141,2889173,Reynoutria japonica,1,700
2000,1kmE3871N3090,2889173,Reynoutria japonica,1,700
2000,1kmE3874N3120,2889173,Reynoutria japonica,1,700
2000,1kmE3879N3123,4038485,Reynoutria bohemica,1,700
2000,1kmE3880N3076,2889173,Reynoutria japonica,1,707
2000,1kmE3880N3113,2889173,Reynoutria japonica,1,700
2000,1kmE3881N3052,2889173,Reynoutria japonica,1,707
2000,1kmE3881N3122,2889173,Reynoutria japonica,2,700
2000,1kmE3882N3126,2889088,Reynoutria sachalinensis,1,700
2000,1kmE3883N3122,2889173,Reynoutria japonica,1,700
2000,1kmE3884N3090,2889173,Reynoutria japonica,1,700
2000,1kmE3889N3093,2889173,Reynoutria japonica,1,700
2000,1kmE3891N3092,2889173,Reynoutria japonica,1,700
2000,1kmE3891N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3891N3095,2889173,Reynoutria japonica,1,700
2000,1kmE3891N3100,2889173,Reynoutria japonica,1,700
2000,1kmE3891N3102,2889173,Reynoutria japonica,1,700
2000,1kmE3893N3054,2889173,Reynoutria japonica,1,707
2000,1kmE3896N3109,2889173,Reynoutria japonica,1,700
2000,1kmE3897N3093,2889173,Reynoutria japonica,1,700
2000,1kmE3897N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3897N3107,2889173,Reynoutria japonica,1,700
2000,1kmE3897N3108,2889173,Reynoutria japonica,1,700
2000,1kmE3898N3112,2889173,Reynoutria japonica,1,700
2000,1kmE3899N3112,2889173,Reynoutria japonica,2,700
2000,1kmE3901N3034,2889173,Reynoutria japonica,1,707
2000,1kmE3901N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3902N3084,2889173,Reynoutria japonica,1,700
2000,1kmE3904N3141,2889173,Reynoutria japonica,1,700
2000,1kmE3906N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3907N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3907N3107,2889173,Reynoutria japonica,1,700
2000,1kmE3909N3107,2889173,Reynoutria japonica,1,700
2000,1kmE3910N3122,2889173,Reynoutria japonica,1,700
2000,1kmE3914N3119,2889173,Reynoutria japonica,1,700
2000,1kmE3914N3122,2889173,Reynoutria japonica,1,700
2000,1kmE3915N3128,2889173,Reynoutria japonica,1,700
2000,1kmE3917N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3917N3134,2889173,Reynoutria japonica,1,700
2000,1kmE3920N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3921N3035,2889173,Reynoutria japonica,1,707
2000,1kmE3921N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3922N3103,2889173,Reynoutria japonica,1,700
2000,1kmE3922N3133,2889173,Reynoutria japonica,1,700
2000,1kmE3923N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3923N3101,2889173,Reynoutria japonica,1,700
2000,1kmE3923N3103,2889173,Reynoutria japonica,1,700
2000,1kmE3924N3091,2889173,Reynoutria japonica,1,700
2000,1kmE3924N3098,2889173,Reynoutria japonica,1,700
2000,1kmE3924N3122,2889173,Reynoutria japonica,1,700
2000,1kmE3924N3128,2889173,Reynoutria japonica,1,700
2000,1kmE3927N3090,2889173,Reynoutria japonica,1,700
2000,1kmE3927N3099,2889173,Reynoutria japonica,1,700
2000,1kmE3927N3103,2889173,Reynoutria japonica,1,700
2000,1kmE3927N3137,2889173,Reynoutria japonica,3,700
2000,1kmE3928N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3928N3099,2889173,Reynoutria japonica,1,700
2000,1kmE3929N3080,2889173,Reynoutria japonica,1,707
2000,1kmE3929N3139,2889173,Reynoutria japonica,1,700
2000,1kmE3930N3081,2889173,Reynoutria japonica,1,707
2000,1kmE3930N3103,2889173,Reynoutria japonica,1,700
2000,1kmE3931N3116,2889173,Reynoutria japonica,1,700
2000,1kmE3932N3081,2889173,Reynoutria japonica,1,707
2000,1kmE3932N3083,2889173,Reynoutria japonica,2,707
2000,1kmE3932N3109,2889173,Reynoutria japonica,1,700
2000,1kmE3932N3115,2889173,Reynoutria japonica,1,700
2000,1kmE3932N3117,2889173,Reynoutria japonica,1,700
2000,1kmE3933N3081,2889173,Reynoutria japonica,1,707
2000,1kmE3933N3115,2889173,Reynoutria japonica,1,700
2000,1kmE3933N3117,2889173,Reynoutria japonica,1,700
2000,1kmE3934N3081,2889173,Reynoutria japonica,1,707
2000,1kmE3934N3156,2889173,Reynoutria japonica,1,700
2000,1kmE3934N3158,2889173,Reynoutria japonica,1,700
2000,1kmE3935N3156,2889088,Reynoutria sachalinensis,1,700
2000,1kmE3938N3086,2889173,Reynoutria japonica,1,700
2000,1kmE3939N3164,2889173,Reynoutria japonica,1,700
2000,1kmE3940N3119,2889173,Reynoutria japonica,1,700
2000,1kmE3941N3166,2889173,Reynoutria japonica,1,700
2000,1kmE3943N3153,2889173,Reynoutria japonica,1,700
2000,1kmE3947N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3948N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3950N3092,2889173,Reynoutria japonica,1,700
2000,1kmE3952N3051,2889173,Reynoutria japonica,1,707
2000,1kmE3953N3148,2889173,Reynoutria japonica,1,700
2000,1kmE3954N3050,2889173,Reynoutria japonica,1,707
2000,1kmE3955N3051,2889173,Reynoutria japonica,1,707
2000,1kmE3960N2977,2889173,Reynoutria japonica,1,707
2000,1kmE3960N3153,2889173,Reynoutria japonica,1,700
2000,1kmE3960N3158,2889173,Reynoutria japonica,1,700
2000,1kmE3961N2978,2889173,Reynoutria japonica,1,707
2000,1kmE3964N2977,2889173,Reynoutria japonica,1,707
2000,1kmE3966N3059,2889173,Reynoutria japonica,1,707
2000,1kmE3967N2993,2889173,Reynoutria japonica,1,707
2000,1kmE3973N3042,2889173,Reynoutria japonica,1,707
2000,1kmE3983N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3987N3059,2889173,Reynoutria japonica,1,707
2000,1kmE3988N3057,2889173,Reynoutria japonica,1,49
2000,1kmE3990N3002,2889173,Reynoutria japonica,1,707
2000,1kmE3996N3107,2889173,Reynoutria japonica,1,700
2000,1kmE3997N3107,2889173,Reynoutria japonica,1,700
2000,1kmE3999N3034,2889173,Reynoutria japonica,1,707
2000,1kmE4000N3064,2889173,Reynoutria japonica,1,707
2000,1kmE4002N3083,2889173,Reynoutria japonica,1,700
2000,1kmE4003N3048,2889173,Reynoutria japonica,1,707
2000,1kmE4007N3048,2889173,Reynoutria japonica,1,707
2000,1kmE4007N3052,2889173,Reynoutria japonica,1,707
2000,1kmE4010N3070,2889173,Reynoutria japonica,1,707
2000,1kmE4020N3104,2889173,Reynoutria japonica,1,700
2000,1kmE4034N3050,2889173,Reynoutria japonica,1,707
2001,1kmE3804N3137,2889088,Reynoutria sachalinensis,1,700
2001,1kmE3813N3139,2889173,Reynoutria japonica,1,700
2001,1kmE3826N3114,2889173,Reynoutria japonica,1,700
2001,1kmE3827N3124,2889173,Reynoutria japonica,1,700
2001,1kmE3830N3097,2889173,Reynoutria japonica,1,700
2001,1kmE3837N3126,2889173,Reynoutria japonica,1,700
2001,1kmE3838N3116,2889173,Reynoutria japonica,1,700
2001,1kmE3838N3117,2889173,Reynoutria japonica,1,700
2001,1kmE3839N3115,2889173,Reynoutria japonica,1,700
2001,1kmE3843N3139,2889173,Reynoutria japonica,1,700
2001,1kmE3843N3155,2889173,Reynoutria japonica,1,700
2001,1kmE3844N3139,2889173,Reynoutria japonica,1,700
2001,1kmE3845N3100,2889173,Reynoutria japonica,1,700
2001,1kmE3845N3139,2889173,Reynoutria japonica,1,700
2001,1kmE3845N3141,2889173,Reynoutria japonica,1,700
2001,1kmE3845N3144,2889173,Reynoutria japonica,1,700
2001,1kmE3846N3100,2889173,Reynoutria japonica,1,700
2001,1kmE3846N3102,2889173,Reynoutria japonica,1,700
2001,1kmE3846N3126,2889173,Reynoutria japonica,1,700
2001,1kmE3846N3145,2889173,Reynoutria japonica,1,700
2001,1kmE3847N3096,2889173,Reynoutria japonica,1,700
2001,1kmE3847N3111,2889173,Reynoutria japonica,1,700
2001,1kmE3847N3143,2889173,Reynoutria japonica,1,700
2001,1kmE3848N3144,2889173,Reynoutria japonica,1,700
2001,1kmE3849N3094,2889173,Reynoutria japonica,1,700
2001,1kmE3849N3096,2889173,Reynoutria japonica,1,700
2001,1kmE3849N3153,2889173,Reynoutria japonica,1,700
2001,1kmE3851N3131,2889173,Reynoutria japonica,1,700
2001,1kmE3851N3134,2889173,Reynoutria japonica,1,700
2001,1kmE3853N3092,2889173,Reynoutria japonica,1,700
2001,1kmE3853N3143,2889173,Reynoutria japonica,1,700
2001,1kmE3853N3155,2889173,Reynoutria japonica,1,700
2001,1kmE3855N3093,2889173,Reynoutria japonica,1,700
2001,1kmE3855N3154,2889173,Reynoutria japonica,1,700
2001,1kmE3856N3143,2889173,Reynoutria japonica,1,700
2001,1kmE3868N3090,2889173,Reynoutria japonica,1,700
2001,1kmE3869N3090,2889173,Reynoutria japonica,1,700
2001,1kmE3869N3150,2889173,Reynoutria japonica,1,700
2001,1kmE3871N3099,2889173,Reynoutria japonica,1,700
2001,1kmE3872N3127,2889173,Reynoutria japonica,1,700
2001,1kmE3873N3122,2889088,Reynoutria sachalinensis,1,700
2001,1kmE3873N3122,2889173,Reynoutria japonica,1,700
2001,1kmE3873N3130,2889173,Reynoutria japonica,1,700
2001,1kmE3876N3118,2889173,Reynoutria japonica,1,700
2001,1kmE3877N3104,2889173,Reynoutria japonica,1,700
2001,1kmE3877N3107,2889173,Reynoutria japonica,1,700
2001,1kmE3878N3115,2889173,Reynoutria japonica,1,700
2001,1kmE3878N3117,2889173,Reynoutria japonica,1,700
2001,1kmE3878N3125,2889173,Reynoutria japonica,1,700
2001,1kmE3879N3106,2889088,Reynoutria sachalinensis,1,700
2001,1kmE3880N3112,2889173,Reynoutria japonica,1,700
2001,1kmE3880N3115,2889173,Reynoutria japonica,1,700
2001,1kmE3880N3122,4038485,Reynoutria bohemica,1,700
2001,1kmE3880N3123,2889173,Reynoutria japonica,1,700
2001,1kmE3880N3124,2889173,Reynoutria japonica,2,700
2001,1kmE3880N3125,2889173,Reynoutria japonica,2,700
2001,1kmE3880N3144,2889173,Reynoutria japonica,1,700
2001,1kmE3881N3126,2889173,Reynoutria japonica,1,700
2001,1kmE3881N3144,2889173,Reynoutria japonica,1,700
2001,1kmE3881N3145,2889173,Reynoutria japonica,1,700
2001,1kmE3881N3146,2889173,Reynoutria japonica,1,700
2001,1kmE3882N3128,2889173,Reynoutria japonica,1,700
2001,1kmE3883N3115,2889173,Reynoutria japonica,1,700
2001,1kmE3883N3120,2889173,Reynoutria japonica,1,700
2001,1kmE3883N3122,2889173,Reynoutria japonica,1,700
2001,1kmE3885N3081,2889173,Reynoutria japonica,1,707
2001,1kmE3885N3118,2889173,Reynoutria japonica,1,700
2001,1kmE3886N3118,2889173,Reynoutria japonica,1,700
2001,1kmE3886N3119,2889173,Reynoutria japonica,1,700
2001,1kmE3887N3090,2889173,Reynoutria japonica,1,700
2001,1kmE3887N3115,2889173,Reynoutria japonica,1,700
2001,1kmE3888N3140,2889173,Reynoutria japonica,1,700
2001,1kmE3891N3134,2889173,Reynoutria japonica,1,700
2001,1kmE3901N3128,2889173,Reynoutria japonica,1,700
2001,1kmE3902N3055,2889173,Reynoutria japonica,1,707
2001,1kmE3904N3087,2889173,Reynoutria japonica,1,700
2001,1kmE3905N3091,2889173,Reynoutria japonica,1,700
2001,1kmE3906N3056,2889173,Reynoutria japonica,1,707
2001,1kmE3906N3120,2889173,Reynoutria japonica,1,700
2001,1kmE3909N3106,2889173,Reynoutria japonica,1,700
